排名,中文标题,外文标题,上映年份,片长,类型,IMDb,详情链接
1,肖申克的救赎,/ The Shawshank Redemption,1994,142分钟,剧情 / 犯罪,tt0111161,https://movie.douban.com/subject/1292052/
2,霸王别姬,/ 再见，我的妾  /  Farewell My Concubine,1993,171分钟,剧情 / 爱情 / 同性,tt0106332,https://movie.douban.com/subject/1291546/
3,泰坦尼克号,/ Titanic,1998,194分钟,剧情 / 爱情 / 灾难,tt0120338,https://movie.douban.com/subject/1292722/
4,阿甘正传,/ Forrest Gump,1994,142分钟,剧情 / 爱情,tt0109830,https://movie.douban.com/subject/1292720/
5,千与千寻,/ 千と千尋の神隠し,2019,125分钟,剧情 / 动画 / 奇幻,tt0245429,https://movie.douban.com/subject/1291561/
6,美丽人生,/ La vita è bella,2020,116分钟,剧情 / 喜剧 / 爱情 / 战争,tt0118799,https://movie.douban.com/subject/1292063/
7,星际穿越,/ Interstellar,2014,169分钟,剧情 / 科幻 / 冒险,tt0816692,https://movie.douban.com/subject/1889243/
8,这个杀手不太冷,/ Léon,2024,133分钟,剧情 / 动作 / 犯罪,tt0110413,https://movie.douban.com/subject/1295644/
9,盗梦空间,/ Inception,2010,148分钟,剧情 / 科幻 / 悬疑 / 冒险,tt1375666,https://movie.douban.com/subject/3541415/
10,楚门的世界,/ The Truman Show,1998,103分钟,剧情 / 科幻,tt0120382,https://movie.douban.com/subject/1292064/
11,辛德勒的名单,/ Schindler's List,1993,195分钟,剧情 / 历史 / 战争,tt0108052,https://movie.douban.com/subject/1295124/
12,忠犬八公的故事,/ Hachi: A Dog's Tale,2009,93分钟,剧情,tt1028532,https://movie.douban.com/subject/3011091/
13,海上钢琴师,/ La leggenda del pianista sull'oceano,2019,120分钟,剧情 / 音乐,tt0120731,https://movie.douban.com/subject/1292001/
14,疯狂动物城,/ Zootopia,2016,109分钟,喜剧 / 动画 / 冒险,tt2948356,https://movie.douban.com/subject/25662329/
15,三傻大闹宝莱坞,/ 3 Idiots,2011,171分钟,剧情 / 喜剧 / 爱情 / 歌舞,tt1187043,https://movie.douban.com/subject/3793023/
16,机器人总动员,/ WALL·E,2008,98分钟,科幻 / 动画 / 冒险,tt0910970,https://movie.douban.com/subject/2131459/
17,放牛班的春天,/ Les choristes,2004,97分钟,剧情 / 音乐,tt0372824,https://movie.douban.com/subject/1291549/
18,无间道,/ 無間道,2003,101分钟,剧情 / 惊悚 / 犯罪,tt0338564,https://movie.douban.com/subject/1307914/
19,控方证人,/ Witness for the Prosecution,2025,116分钟,剧情 / 悬疑 / 惊悚 / 犯罪,tt0051201,https://movie.douban.com/subject/1296141/
20,寻梦环游记,/ Coco,2017,105分钟,喜剧 / 动画 / 音乐 / 奇幻,tt2380307,https://movie.douban.com/subject/20495023/
21,大话西游之大圣娶亲,/ 西遊記大結局之仙履奇緣,2014,95分钟,喜剧 / 爱情 / 奇幻 / 古装,tt0114996,https://movie.douban.com/subject/1292213/
22,熔炉,/ 도가니,2011,125分钟,剧情,tt2070649,https://movie.douban.com/subject/5912992/
23,触不可及,/ Intouchables,2011,112分钟,剧情 / 喜剧,tt1675434,https://movie.douban.com/subject/6786002/
24,教父,/ The Godfather,1972,175分钟,剧情 / 犯罪,tt0068646,https://movie.douban.com/subject/1291841/
25,末代皇帝,/ The Last Emperor,1987,163分钟,剧情 / 传记 / 历史,tt0093389,https://movie.douban.com/subject/1293172/
26,哈利·波特与魔法石,/ Harry Potter and the Sorcerer's Stone,2002,152分钟,奇幻 / 冒险,tt0241527,https://movie.douban.com/subject/1295038/
27,当幸福来敲门,/ The Pursuit of Happyness,2008,117分钟,剧情 / 家庭 / 传记,tt0454921,https://movie.douban.com/subject/1849031/
28,龙猫,/ となりのトトロ,2018,86分钟,动画 / 奇幻 / 冒险,tt0096283,https://movie.douban.com/subject/1291560/
29,活着,/ 人生  /  Lifetimes,1994,132分钟,剧情 / 家庭 / 历史,tt0110081,https://movie.douban.com/subject/1292365/
30,怦然心动,/ Flipped,2010,90分钟,剧情 / 喜剧 / 爱情,tt0817177,https://movie.douban.com/subject/3319755/
31,蝙蝠侠：黑暗骑士,/ The Dark Knight,2008,152分钟,剧情 / 动作 / 科幻 / 惊悚 / 犯罪,tt0468569,https://movie.douban.com/subject/1851857/
32,指环王3：王者无敌,/ The Lord of the Rings: The Return of the King,2004,201分钟,剧情 / 动作 / 奇幻 / 冒险,tt0167260,https://movie.douban.com/subject/1291552/
33,我不是药神,/ 中国药神  /  印度药神,2018,117分钟,剧情 / 喜剧,tt7362036,https://movie.douban.com/subject/26752088/
34,乱世佳人,/ Gone with the Wind,1939,233分钟,剧情 / 爱情 / 历史 / 战争,tt0031381,https://movie.douban.com/subject/1300267/
35,飞屋环游记,/ Up,2009,96分钟,剧情 / 喜剧 / 动画 / 冒险,tt1049413,https://movie.douban.com/subject/2129039/
36,让子弹飞,/ 让子弹飞一会儿  /  火烧云,2010,132分钟,剧情 / 喜剧 / 动作 / 西部,tt1533117,https://movie.douban.com/subject/3742360/
37,哈尔的移动城堡,/ ハウルの動く城,2024,119分钟,爱情 / 动画 / 奇幻 / 冒险,tt0347149,https://movie.douban.com/subject/1308807/
38,十二怒汉,/ 12 Angry Men,1957,96分钟,剧情,tt0050083,https://movie.douban.com/subject/1293182/
39,海蒂和爷爷,/ Heidi,2019,111分钟,剧情 / 家庭 / 冒险,tt3700392,https://movie.douban.com/subject/25958717/
40,素媛,/ 소원,2013,122分钟,剧情,tt3153634,https://movie.douban.com/subject/21937452/
41,猫鼠游戏,/ Catch Me If You Can,2003,141分钟,剧情 / 传记 / 犯罪,tt0264464,https://movie.douban.com/subject/1305487/
42,天空之城,/ 天空の城ラピュタ,1992,125分钟,动画 / 奇幻 / 冒险,tt0092067,https://movie.douban.com/subject/1291583/
43,鬼子来了,/ Devils on the Doorstep,2000,139分钟,剧情 / 喜剧,tt0245929,https://movie.douban.com/subject/1291858/
44,摔跤吧！爸爸,/ Dangal,2017,161分钟,剧情 / 家庭 / 传记 / 运动,tt5074352,https://movie.douban.com/subject/26387939/
45,少年派的奇幻漂流,/ Life of Pi,2012,127分钟,剧情 / 奇幻 / 冒险,tt0454876,https://movie.douban.com/subject/1929463/
46,钢琴家,/ The Pianist,2002,149分钟,剧情 / 音乐 / 传记 / 战争,tt0253474,https://movie.douban.com/subject/1296736/
47,指环王2：双塔奇兵,/ The Lord of the Rings: The Two Towers,2003,180分钟,剧情 / 动作 / 奇幻 / 冒险,tt0167261,https://movie.douban.com/subject/1291572/
48,死亡诗社,/ Dead Poets Society,1989,128分钟,剧情,tt0097165,https://movie.douban.com/subject/1291548/
49,大话西游之月光宝盒,/ 西遊記第壹佰零壹回之月光寶盒,2014,88分钟,喜剧 / 爱情 / 奇幻 / 古装,tt0112778,https://movie.douban.com/subject/1299398/
50,绿皮书,/ Green Book,2019,130分钟,剧情 / 喜剧 / 音乐 / 传记,tt6966692,https://movie.douban.com/subject/27060077/
51,何以为家,/ كفرناحوم,2019,126分钟,剧情,tt8267604,https://movie.douban.com/subject/30170448/
52,闻香识女人,/ Scent of a Woman,1992,157分钟,剧情,tt0105323,https://movie.douban.com/subject/1298624/
53,大闹天宫,/ 大闹天宫 上下集  /  The Monkey King,1961,113分钟,剧情 / 动画 / 奇幻 / 古装,tt0059855,https://movie.douban.com/subject/1418019/
54,黑客帝国,/ The Matrix,2000,136分钟,动作 / 科幻,tt0133093,https://movie.douban.com/subject/1291843/
55,指环王1：护戒使者,/ The Lord of the Rings: The Fellowship of the Ring,2002,179分钟,剧情 / 动作 / 奇幻 / 冒险,tt0120737,https://movie.douban.com/subject/1291571/
56,罗马假日,/ Roman Holiday,1953,118分钟,剧情 / 喜剧 / 爱情,tt0046250,https://movie.douban.com/subject/1293839/
57,教父2,/ The Godfather: Part II,1974,202分钟,剧情 / 犯罪,tt0071562,https://movie.douban.com/subject/1299131/
58,狮子王,/ The Lion King,1995,89分钟,动画 / 歌舞 / 冒险,tt0110357,https://movie.douban.com/subject/1301753/
59,天堂电影院,/ Nuovo Cinema Paradiso,2021,173分钟,剧情 / 爱情,tt0095765,https://movie.douban.com/subject/1291828/
60,饮食男女,/ 飲食男女,1994,124分钟,剧情 / 家庭,tt0111797,https://movie.douban.com/subject/1291818/
61,辩护人,/ 변호인,2013,127分钟,剧情,tt3404140,https://movie.douban.com/subject/21937445/
62,本杰明·巴顿奇事,/ The Curious Case of Benjamin Button,2008,166分钟,剧情 / 爱情 / 奇幻,tt0421715,https://movie.douban.com/subject/1485260/
63,搏击俱乐部,/ Fight Club,1999,139分钟,剧情 / 动作 / 悬疑 / 惊悚,tt0137523,https://movie.douban.com/subject/1292000/
64,美丽心灵,/ A Beautiful Mind,2001,135分钟,剧情 / 传记,tt0268978,https://movie.douban.com/subject/1306029/
65,穿条纹睡衣的男孩,/ The Boy in the Striped Pajamas,2008,94分钟,剧情 / 战争,tt0914798,https://movie.douban.com/subject/3008247/
66,哈利·波特与死亡圣器(下),/ Harry Potter and the Deathly Hallows: Part 2,2011,130分钟,奇幻 / 冒险,tt1201607,https://movie.douban.com/subject/3011235/
67,情书,/ Love Letter,1999,117分钟,剧情 / 爱情,tt0113703,https://movie.douban.com/subject/1292220/
68,两杆大烟枪,"/ Lock, Stock and Two Smoking Barrels",1998,107分钟,剧情 / 喜剧 / 犯罪,tt0120735,https://movie.douban.com/subject/1293350/
69,窃听风暴,/ Das Leben der Anderen,2006,137分钟,剧情 / 悬疑,tt0405094,https://movie.douban.com/subject/1900841/
70,功夫,/ 功夫3D  /  Kung Fu Hustle,2004,100分钟,喜剧 / 动作 / 犯罪 / 奇幻,tt0373074,https://movie.douban.com/subject/1291543/
71,音乐之声,/ The Sound of Music,1965,174分钟,剧情 / 爱情 / 歌舞 / 传记,tt0059742,https://movie.douban.com/subject/1294408/
72,哈利·波特与阿兹卡班的囚徒,/ Harry Potter and the Prisoner of Azkaban,2004,141分钟,奇幻 / 冒险,tt0304141,https://movie.douban.com/subject/1291544/
73,阿凡达,/ Avatar,2010,162分钟,动作 / 科幻 / 冒险,tt0499549,https://movie.douban.com/subject/1652587/
74,西西里的美丽传说,/ Malèna,2000,108分钟,剧情 / 情色 / 战争,tt0213847,https://movie.douban.com/subject/1292402/
75,看不见的客人,/ Contratiempo,2017,106分钟,剧情 / 悬疑 / 惊悚 / 犯罪,tt4857264,https://movie.douban.com/subject/26580232/
76,拯救大兵瑞恩,/ Saving Private Ryan,1998,169分钟,剧情 / 战争,tt0120815,https://movie.douban.com/subject/1292849/
77,沉默的羔羊,/ The Silence of the Lambs,1991,118分钟,剧情 / 惊悚 / 犯罪,tt0102926,https://movie.douban.com/subject/1293544/
78,小鞋子,/ بچه های آسمان,1997,89分钟,剧情 / 家庭 / 儿童,tt0118849,https://movie.douban.com/subject/1303021/
79,布达佩斯大饭店,/ The Grand Budapest Hotel,2014,99分钟,剧情 / 喜剧 / 冒险,tt2278388,https://movie.douban.com/subject/11525673/
80,蝴蝶效应,/ The Butterfly Effect,2004,113分钟,剧情 / 科幻 / 悬疑 / 惊悚,tt0289879,https://movie.douban.com/subject/1292343/
81,飞越疯人院,/ One Flew Over the Cuckoo's Nest,1975,133分钟,剧情,tt0073486,https://movie.douban.com/subject/1292224/
82,还有明天,/ C'è ancora domani,2025,118分钟,剧情 / 喜剧 / 历史,tt21800162,https://movie.douban.com/subject/36445098/
83,禁闭岛,/ Shutter Island,2010,138分钟,剧情 / 悬疑 / 惊悚,tt1130884,https://movie.douban.com/subject/2334904/
84,心灵捕手,/ Good Will Hunting,1997,126分钟,剧情,tt0119217,https://movie.douban.com/subject/1292656/
85,致命魔术,/ The Prestige,2006,130分钟,剧情 / 悬疑 / 惊悚,tt0482571,https://movie.douban.com/subject/1780330/
86,低俗小说,/ Pulp Fiction,1994,154分钟,剧情 / 喜剧 / 犯罪,tt0110912,https://movie.douban.com/subject/1291832/
87,哈利·波特与密室,/ Harry Potter and the Chamber of Secrets,2003,161分钟,奇幻 / 冒险,tt0295297,https://movie.douban.com/subject/1296996/
88,超脱,/ Detachment,2011,98分钟,剧情,tt1683526,https://movie.douban.com/subject/5322596/
89,一一,/ Yi yi  /  Yi yi: A One and a Two,2017,173分钟,剧情 / 爱情 / 家庭,tt0244316,https://movie.douban.com/subject/1292434/
90,喜剧之王,/ 喜劇之王,1999,89分钟,剧情 / 喜剧 / 爱情,tt0188766,https://movie.douban.com/subject/1302425/
91,杀人回忆,/ 살인의 추억,2003,132分钟,剧情 / 动作 / 悬疑 / 惊悚 / 犯罪,tt0353969,https://movie.douban.com/subject/1300299/
92,致命ID,/ Identity,2003,90分钟,剧情 / 悬疑 / 惊悚,tt0309698,https://movie.douban.com/subject/1297192/
93,摩登时代,/ Modern Times,1936,87分钟,剧情 / 喜剧 / 爱情,tt0027977,https://movie.douban.com/subject/1294371/
94,春光乍泄,/ 春光乍洩,1997,96分钟,剧情 / 爱情 / 同性,tt0118845,https://movie.douban.com/subject/1292679/
95,加勒比海盗,/ Pirates of the Caribbean: The Curse of the Black Pearl,2003,143分钟,动作 / 奇幻 / 冒险,tt0325980,https://movie.douban.com/subject/1298070/
96,海豚湾,/ The Cove,2009,92分钟,纪录片,tt1313104,https://movie.douban.com/subject/3442220/
97,美国往事,/ Once Upon a Time in America,1984,229分钟,剧情 / 犯罪,tt0087843,https://movie.douban.com/subject/1292262/
98,红辣椒,/ パプリカ,2006,90分钟,科幻 / 动画 / 悬疑 / 惊悚,tt0851578,https://movie.douban.com/subject/1865703/
99,七宗罪,/ Se7en,1995,127分钟,剧情 / 悬疑 / 惊悚 / 犯罪,tt0114369,https://movie.douban.com/subject/1292223/
100,唐伯虎点秋香,/ 唐伯虎點秋香,1993,102分钟,喜剧 / 爱情 / 古装,tt0108289,https://movie.douban.com/subject/1306249/
101,狩猎,/ Jagten,2012,115分钟,剧情,tt2106476,https://movie.douban.com/subject/6985810/
102,幽灵公主,/ もののけ姫,2025,134分钟,动画 / 奇幻 / 冒险,tt0119698,https://movie.douban.com/subject/1297359/
103,甜蜜蜜,/ Comrades: Almost a Love Story,2015,118分钟,剧情 / 爱情,tt0117905,https://movie.douban.com/subject/1305164/
104,寄生虫,/ 기생충,2019,132分钟,剧情,tt6751668,https://movie.douban.com/subject/27010768/
105,天书奇谭,/ 天书奇谭4K纪念版  /  The Legend of Sealed Book,1983,89分钟,动画 / 奇幻,tt6035092,https://movie.douban.com/subject/1428581/
106,蝙蝠侠：黑暗骑士崛起,/ The Dark Knight Rises,2012,165分钟,剧情 / 动作 / 科幻 / 惊悚 / 犯罪,tt1345836,https://movie.douban.com/subject/3395373/
