中文标题,评分
肖申克的救赎,9.7
霸王别姬,9.6
控方证人,9.6
泰坦尼克号,9.5
阿甘正传,9.5
美丽人生,9.5
辛德勒的名单,9.5
茶馆,9.5
背靠背，脸对脸,9.5
高山下的花环,9.5
