排名,中文标题,外文标题,评分,评价人数,导演/主演,简介,详情链接
126,傲慢与偏见,Pride & Prejudice,8.7,942575,导演: 乔·怀特 Joe Wright   主演: 凯拉·奈特莉 Keira Knightley / 马修·...,暂无简介,https://movie.douban.com/subject/1418200/
127,消失的爱人,Gone Girl,8.7,1077561,导演: 大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...,暂无简介,https://movie.douban.com/subject/21318488/
128,无人知晓,誰も知らない,9.1,374398,导演: 是枝裕和 Hirokazu Koreeda   主演: 柳乐优弥 Yûya Yagira / 北浦爱...,暂无简介,https://movie.douban.com/subject/1292337/
129,倩女幽魂,,8.8,838627,导演: 程小东 Siu-Tung Ching   主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...,暂无简介,https://movie.douban.com/subject/1297447/
130,新世界,신세계,8.9,530900,导演: 朴勋政 Hoon-jung Park   主演: 李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,暂无简介,https://movie.douban.com/subject/10437779/
131,花样年华,花樣年華,8.8,809702,导演: 王家卫 Kar Wai Wong   主演: 张曼玉 Maggie Cheung / 梁朝伟 Tony Leu...,暂无简介,https://movie.douban.com/subject/1291557/
132,玩具总动员3,Toy Story 3,8.9,595659,导演: 李·昂克里奇 Lee Unkrich   主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,暂无简介,https://movie.douban.com/subject/1858711/
133,一个叫欧维的男人决定去死,En man som heter Ove,8.9,572412,导演: 汉内斯·赫尔姆 Hannes Holm   主演: 罗夫·拉斯加德 Rolf Lassgård...,暂无简介,https://movie.douban.com/subject/26628357/
134,色，戒,,8.7,966482,导演: 李安 Ang Lee   主演: 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,暂无简介,https://movie.douban.com/subject/1828115/
135,完美的世界,A Perfect World,9.1,361655,导演: 克林特·伊斯特伍德 Clint Eastwood   主演: 凯文·科斯特纳 Kevin Cos...,暂无简介,https://movie.douban.com/subject/1300992/
136,怪兽电力公司,"Monsters, Inc.",8.8,773797,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   主演: 约...,暂无简介,https://movie.douban.com/subject/1291579/
137,阳光灿烂的日子,,8.8,698414,导演: 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,暂无简介,https://movie.douban.com/subject/1291875/
138,教父3,The Godfather: Part III,9.0,434788,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...,暂无简介,https://movie.douban.com/subject/1294240/
