排名,中文标题,外文标题,评分,评价人数,导演/主演,简介,详情链接
1,肖申克的救赎,The Shawshank Redemption,9.7,3285245,导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...,暂无简介,https://movie.douban.com/subject/1292052/
2,霸王别姬,,9.6,2423840,导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,暂无简介,https://movie.douban.com/subject/1291546/
3,泰坦尼克号,Titanic,9.5,2499133,导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...,暂无简介,https://movie.douban.com/subject/1292722/
4,阿甘正传,Forrest Gump,9.5,2430889,导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...,暂无简介,https://movie.douban.com/subject/1292720/
5,千与千寻,千と千尋の神隠し,9.4,2537528,导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,暂无简介,https://movie.douban.com/subject/1291561/
6,美丽人生,La vita è bella,9.5,1482684,导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...,暂无简介,https://movie.douban.com/subject/1292063/
7,星际穿越,Interstellar,9.4,2184542,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...,暂无简介,https://movie.douban.com/subject/1889243/
8,这个杀手不太冷,Léon,9.4,2552838,导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,暂无简介,https://movie.douban.com/subject/1295644/
9,盗梦空间,Inception,9.4,2326065,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...,暂无简介,https://movie.douban.com/subject/3541415/
10,楚门的世界,The Truman Show,9.4,2019869,导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,暂无简介,https://movie.douban.com/subject/1292064/
11,辛德勒的名单,Schindler's List,9.5,1247482,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...,暂无简介,https://movie.douban.com/subject/1295124/
12,忠犬八公的故事,Hachi: A Dog's Tale,9.4,1543589,导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...,暂无简介,https://movie.douban.com/subject/3011091/
13,海上钢琴师,La leggenda del pianista sull'oceano,9.3,1879994,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...,暂无简介,https://movie.douban.com/subject/1292001/
14,疯狂动物城,Zootopia,9.3,2320827,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...,暂无简介,https://movie.douban.com/subject/25662329/
15,三傻大闹宝莱坞,3 Idiots,9.2,2079038,导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...,暂无简介,https://movie.douban.com/subject/3793023/
16,机器人总动员,WALL·E,9.3,1493947,导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...,暂无简介,https://movie.douban.com/subject/2131459/
17,放牛班的春天,Les choristes,9.3,1474288,导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 让-巴蒂斯特·莫尼...,暂无简介,https://movie.douban.com/subject/1291549/
18,无间道,無間道,9.3,1565775,导演: 刘伟强 / 麦兆辉   主演: 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,暂无简介,https://movie.douban.com/subject/1307914/
19,控方证人,Witness for the Prosecution,9.6,743893,导演: 比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power / 玛琳·...,暂无简介,https://movie.douban.com/subject/1296141/
20,寻梦环游记,Coco,9.1,1990229,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina   主演: ...,暂无简介,https://movie.douban.com/subject/20495023/
21,大话西游之大圣娶亲,西遊記大結局之仙履奇緣,9.2,1710114,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,暂无简介,https://movie.douban.com/subject/1292213/
22,熔炉,도가니,9.3,1036536,导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,暂无简介,https://movie.douban.com/subject/5912992/
23,触不可及,Intouchables,9.3,1296543,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,暂无简介,https://movie.douban.com/subject/6786002/
24,教父,The Godfather,9.3,1107923,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...,暂无简介,https://movie.douban.com/subject/1291841/
25,末代皇帝,The Last Emperor,9.3,1029586,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...,暂无简介,https://movie.douban.com/subject/1293172/
26,哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone,9.2,1423876,导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint,暂无简介,https://movie.douban.com/subject/1295038/
27,当幸福来敲门,The Pursuit of Happyness,9.1,1688835,导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...,暂无简介,https://movie.douban.com/subject/1849031/
28,龙猫,となりのトトロ,9.2,1412059,导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,暂无简介,https://movie.douban.com/subject/1291560/
29,活着,,9.3,970984,导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,暂无简介,https://movie.douban.com/subject/1292365/
30,怦然心动,Flipped,9.1,2052368,导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,暂无简介,https://movie.douban.com/subject/3319755/
31,蝙蝠侠：黑暗骑士,The Dark Knight,9.2,1193586,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...,暂无简介,https://movie.douban.com/subject/1851857/
32,指环王3：王者无敌,The Lord of the Rings: The Return of the King,9.3,911290,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,暂无简介,https://movie.douban.com/subject/1291552/
33,我不是药神,,9.0,2351838,导演: 文牧野 Muye Wen   主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,暂无简介,https://movie.douban.com/subject/26752088/
34,乱世佳人,Gone with the Wind,9.3,796292,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 费...,暂无简介,https://movie.douban.com/subject/1300267/
35,飞屋环游记,Up,9.1,1501981,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...,暂无简介,https://movie.douban.com/subject/2129039/
36,让子弹飞,,9.0,1921683,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,暂无简介,https://movie.douban.com/subject/3742360/
37,哈尔的移动城堡,ハウルの動く城,9.1,1292554,导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...,暂无简介,https://movie.douban.com/subject/1308807/
38,十二怒汉,12 Angry Men,9.4,579673,导演: 西德尼·吕美特 Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁...,暂无简介,https://movie.douban.com/subject/1293182/
39,海蒂和爷爷,Heidi,9.3,782967,导演: 阿兰·葛斯彭纳 Alain Gsponer   主演: 阿努克·斯特芬 Anuk Steffen /...,暂无简介,https://movie.douban.com/subject/25958717/
40,素媛,소원,9.3,776907,导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,暂无简介,https://movie.douban.com/subject/21937452/
41,猫鼠游戏,Catch Me If You Can,9.1,1212481,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...,暂无简介,https://movie.douban.com/subject/1305487/
42,天空之城,天空の城ラピュタ,9.2,1010058,导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,暂无简介,https://movie.douban.com/subject/1291583/
43,鬼子来了,,9.3,715987,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,暂无简介,https://movie.douban.com/subject/1291858/
44,摔跤吧！爸爸,Dangal,9.0,1746844,导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...,暂无简介,https://movie.douban.com/subject/26387939/
45,少年派的奇幻漂流,Life of Pi,9.1,1490851,导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,暂无简介,https://movie.douban.com/subject/1929463/
46,钢琴家,The Pianist,9.3,751089,导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...,暂无简介,https://movie.douban.com/subject/1296736/
47,指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,9.2,858254,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,暂无简介,https://movie.douban.com/subject/1291572/
48,死亡诗社,Dead Poets Society,9.2,884846,导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,暂无简介,https://movie.douban.com/subject/1291548/
49,大话西游之月光宝盒,西遊記第壹佰零壹回之月光寶盒,9.0,1366927,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,暂无简介,https://movie.douban.com/subject/1299398/
50,绿皮书,Green Book,8.9,1894859,导演: 彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Mortensen /...,暂无简介,https://movie.douban.com/subject/27060077/
51,何以为家,كفرناحوم,9.1,1163475,导演: 娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea / ...,暂无简介,https://movie.douban.com/subject/30170448/
52,闻香识女人,Scent of a Woman,9.1,1024499,导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...,暂无简介,https://movie.douban.com/subject/1298624/
53,大闹天宫,,9.4,510555,导演: 万籁鸣 Laiming Wan   主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,暂无简介,https://movie.douban.com/subject/1418019/
54,黑客帝国,The Matrix,9.1,951705,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,暂无简介,https://movie.douban.com/subject/1291843/
55,指环王1：护戒使者,The Lord of the Rings: The Fellowship of the Ring,9.1,961391,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,暂无简介,https://movie.douban.com/subject/1291571/
56,罗马假日,Roman Holiday,9.1,1049509,导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...,暂无简介,https://movie.douban.com/subject/1293839/
57,教父2,The Godfather: Part II,9.3,641058,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...,暂无简介,https://movie.douban.com/subject/1299131/
58,狮子王,The Lion King,9.1,962167,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...,暂无简介,https://movie.douban.com/subject/1301753/
59,天堂电影院,Nuovo Cinema Paradiso,9.2,742259,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 菲利普·努瓦雷 Philipp...,暂无简介,https://movie.douban.com/subject/1291828/
60,饮食男女,飲食男女,9.2,726623,导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,暂无简介,https://movie.douban.com/subject/1291818/
61,辩护人,변호인,9.2,658803,导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,暂无简介,https://movie.douban.com/subject/21937445/
62,本杰明·巴顿奇事,The Curious Case of Benjamin Button,9.0,1106586,导演: 大卫·芬奇 David Fincher   主演: 布拉德·皮特 Brad Pitt / 凯特·布...,暂无简介,https://movie.douban.com/subject/1485260/
63,搏击俱乐部,Fight Club,9.0,977337,导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...,暂无简介,https://movie.douban.com/subject/1292000/
64,美丽心灵,A Beautiful Mind,9.1,854502,导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...,暂无简介,https://movie.douban.com/subject/1306029/
65,穿条纹睡衣的男孩,The Boy in the Striped Pajamas,9.2,642786,导演: 马克·赫尔曼 Mark Herman   主演: 阿萨·巴特菲尔德 Asa Butterfield ...,暂无简介,https://movie.douban.com/subject/3008247/
66,哈利·波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2,9.0,972417,导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,暂无简介,https://movie.douban.com/subject/3011235/
67,情书,Love Letter,8.9,1328029,导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,暂无简介,https://movie.douban.com/subject/1292220/
68,两杆大烟枪,"Lock, Stock and Two Smoking Barrels",9.1,679096,导演: 盖·里奇 Guy Ritchie   主演: 杰森·弗莱明 Jason Flemyng / 德克斯特...,暂无简介,https://movie.douban.com/subject/1293350/
69,窃听风暴,Das Leben der Anderen,9.2,632981,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,暂无简介,https://movie.douban.com/subject/1900841/
70,功夫,,8.9,1338935,导演: 周星驰 Stephen Chow   主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,暂无简介,https://movie.douban.com/subject/1291543/
71,音乐之声,The Sound of Music,9.1,685363,导演: 罗伯特·怀斯 Robert Wise   主演: 朱莉·安德鲁斯 Julie Andrews / 克...,暂无简介,https://movie.douban.com/subject/1294408/
72,哈利·波特与阿兹卡班的囚徒,Harry Potter and the Prisoner of Azkaban,9.0,892976,导演: 阿方索·卡隆 Alfonso Cuarón   主演: 丹尼尔·雷德克里夫 Daniel Rad...,暂无简介,https://movie.douban.com/subject/1291544/
73,阿凡达,Avatar,8.8,1588396,导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...,暂无简介,https://movie.douban.com/subject/1652587/
74,西西里的美丽传说,Malèna,8.9,1094954,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...,暂无简介,https://movie.douban.com/subject/1292402/
75,看不见的客人,Contratiempo,8.8,1443451,导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas / 阿...,暂无简介,https://movie.douban.com/subject/26580232/
76,拯救大兵瑞恩,Saving Private Ryan,9.1,726325,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...,暂无简介,https://movie.douban.com/subject/1292849/
77,沉默的羔羊,The Silence of the Lambs,8.9,1018239,导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...,暂无简介,https://movie.douban.com/subject/1293544/
78,小鞋子,بچه های آسمان,9.2,467267,导演: 马基德·马基迪 Majid Majidi   主演: 默罕默德·阿米尔·纳吉 Mohamma...,暂无简介,https://movie.douban.com/subject/1303021/
79,布达佩斯大饭店,The Grand Budapest Hotel,8.9,1087740,导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...,暂无简介,https://movie.douban.com/subject/11525673/
80,蝴蝶效应,The Butterfly Effect,8.9,1070384,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...,暂无简介,https://movie.douban.com/subject/1292343/
81,飞越疯人院,One Flew Over the Cuckoo's Nest,9.1,605379,导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...,暂无简介,https://movie.douban.com/subject/1292224/
82,还有明天,C'è ancora domani,9.3,374507,导演: 宝拉·柯特莱西 Paola Cortellesi   主演: 宝拉·柯特莱西 Paola Corte...,暂无简介,https://movie.douban.com/subject/36445098/
83,禁闭岛,Shutter Island,8.9,1116325,导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,暂无简介,https://movie.douban.com/subject/2334904/
84,心灵捕手,Good Will Hunting,9.0,816971,导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...,暂无简介,https://movie.douban.com/subject/1292656/
85,致命魔术,The Prestige,8.9,966147,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...,暂无简介,https://movie.douban.com/subject/1780330/
86,低俗小说,Pulp Fiction,8.9,961970,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...,暂无简介,https://movie.douban.com/subject/1291832/
87,哈利·波特与密室,Harry Potter and the Chamber of Secrets,8.9,919412,导演: Chris Columbus   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,暂无简介,https://movie.douban.com/subject/1296996/
88,超脱,Detachment,9.0,725328,导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 马西...,暂无简介,https://movie.douban.com/subject/5322596/
89,一一,,9.1,512895,导演: 杨德昌 Edward Yang   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,暂无简介,https://movie.douban.com/subject/1292434/
90,喜剧之王,喜劇之王,8.8,1098308,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch...,暂无简介,https://movie.douban.com/subject/1302425/
91,杀人回忆,살인의 추억,8.9,839958,导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,暂无简介,https://movie.douban.com/subject/1300299/
92,致命ID,Identity,8.9,952458,导演: 詹姆斯·曼高德 James Mangold   主演: 约翰·库萨克 John Cusack / 雷...,暂无简介,https://movie.douban.com/subject/1297192/
93,摩登时代,Modern Times,9.3,348099,导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...,暂无简介,https://movie.douban.com/subject/1294371/
94,春光乍泄,春光乍洩,9.0,711182,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,暂无简介,https://movie.douban.com/subject/1292679/
95,加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,8.8,971461,导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / ...,暂无简介,https://movie.douban.com/subject/1298070/
96,海豚湾,The Cove,9.3,383025,导演: 路易·西霍尤斯 Louie Psihoyos   主演: 路易·西霍尤斯 Louie Psihoyo...,暂无简介,https://movie.douban.com/subject/3442220/
97,美国往事,Once Upon a Time in America,9.1,473345,导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...,暂无简介,https://movie.douban.com/subject/1292262/
98,红辣椒,パプリカ,9.0,572547,导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...,暂无简介,https://movie.douban.com/subject/1865703/
99,七宗罪,Se7en,8.8,1065291,导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...,暂无简介,https://movie.douban.com/subject/1292223/
100,唐伯虎点秋香,唐伯虎點秋香,8.8,1228049,导演: 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,暂无简介,https://movie.douban.com/subject/1306249/
101,狩猎,Jagten,9.1,472599,导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik...,暂无简介,https://movie.douban.com/subject/6985810/
102,幽灵公主,もののけ姫,8.9,672016,导演: 宫崎骏 Hayao Miyazaki   主演: 松田洋治 Yôji Matsuda / 石田百合...,暂无简介,https://movie.douban.com/subject/1297359/
103,甜蜜蜜,,8.9,676422,导演: 陈可辛 Peter Chan   主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,暂无简介,https://movie.douban.com/subject/1305164/
104,寄生虫,기생충,8.8,1552672,导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 李善均 Seon-gyun...,暂无简介,https://movie.douban.com/subject/27010768/
105,天书奇谭,,9.2,337034,导演: 王树忱 Shuchen Wang / 钱运达 Yunda Qian   主演: 丁建华 Jianhua Din...,暂无简介,https://movie.douban.com/subject/1428581/
106,蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,8.9,816806,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...,暂无简介,https://movie.douban.com/subject/3395373/
107,超能陆战队,Big Hero 6,8.8,1149201,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams   主演: 斯科特...,暂无简介,https://movie.douban.com/subject/11026735/
108,7号房的礼物,7번방의 선물,8.9,624006,导演: 李焕庆 Hwan-kyeong Lee   主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,暂无简介,https://movie.douban.com/subject/10777687/
109,茶馆,,9.5,210842,导演: 谢添 Tian Xie   主演: 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,暂无简介,https://movie.douban.com/subject/1461403/
110,第六感,The Sixth Sense,8.9,641186,导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi...,暂无简介,https://movie.douban.com/subject/1297630/
111,爱在黎明破晓前,Before Sunrise,8.8,805165,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...,暂无简介,https://movie.douban.com/subject/1296339/
112,爱在日落黄昏时,Before Sunset,8.9,657199,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...,暂无简介,https://movie.douban.com/subject/1291990/
113,被嫌弃的松子的一生,嫌われ松子の一生,8.8,777239,导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...,暂无简介,https://movie.douban.com/subject/1787291/
114,头脑特工队,Inside Out,8.8,810598,导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,暂无简介,https://movie.douban.com/subject/10533913/
115,哈利·波特与火焰杯,Harry Potter and the Goblet of Fire,8.8,805488,导演: 迈克·内威尔 Mike Newell   主演: 丹尼尔·雷德克里夫 Daniel Radclif...,暂无简介,https://movie.douban.com/subject/1309055/
116,未麻的部屋,Perfect Blue,9.1,427792,导演: 今敏 Satoshi Kon   主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,暂无简介,https://movie.douban.com/subject/1395091/
117,重庆森林,重慶森林,8.8,926210,导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...,暂无简介,https://movie.douban.com/subject/1291999/
118,借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,8.9,630215,导演: 米林宏昌 Hiromasa Yonebayashi   主演: 志田未来 Mirai Shida / 神木...,暂无简介,https://movie.douban.com/subject/4202302/
119,菊次郎的夏天,菊次郎の夏,8.9,676001,导演: 北野武 Takeshi Kitano   主演: 北野武 Takeshi Kitano / 关口雄介 Yus...,暂无简介,https://movie.douban.com/subject/1293359/
120,入殓师,おくりびと,8.9,745001,导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...,暂无简介,https://movie.douban.com/subject/2149806/
121,断背山,Brokeback Mountain,8.8,785548,导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,暂无简介,https://movie.douban.com/subject/1418834/
122,剪刀手爱德华,Edward Scissorhands,8.7,1123660,导演: 蒂姆·波顿 Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...,暂无简介,https://movie.douban.com/subject/1292370/
123,勇敢的心,Braveheart,8.9,607241,导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...,暂无简介,https://movie.douban.com/subject/1294639/
124,时空恋旅人,About Time,8.8,797299,导演: 理查德·柯蒂斯 Richard Curtis   主演: 多姆纳尔·格里森 Domhnall Gl...,暂无简介,https://movie.douban.com/subject/10577869/
125,驯龙高手,How to Train Your Dragon,8.8,869545,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:...,暂无简介,https://movie.douban.com/subject/2353023/
